ticker,date,sector,setup,primary_setup,raw_score,score,score_trend,score_momentum,score_position,score_relative_strength,trend_ok,momentum_ok,liquidity_state,discovery_state,discovery_reason,regime_state,close,ma20,ma50,ma200,atr14,high_20d,low_20d,avg_vol_20,volume_ratio,breakout_strength,extension_atr,ret_20d_pct,rs_20d_pct,atr_pct,entry,stop,target,rr,grade
AA,2026-05-20,BASIC MATERIALS,NONE,,-0.5,-0.5,2.0,-1.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,64.14,64.3,65.39,49.83,2.52,69.73,60.91,3905349,1.02,0.0,-0.06,-6.41,-6.41,3.92,,,,,C
AAPL,2026-05-20,TECHNOLOGY,NONE,,11.0,11.0,6.0,2.0,1.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,302.25,285.88,268.61,260.56,6.46,303.2,265.07,47597891,0.78,3.5,2.53,10.65,10.65,2.14,,,,,A
ABBV,2026-05-20,HEALTHCARE,NONE,,8.0,8.0,3.0,2.0,2.0,1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,212.3,205.79,208.77,219.06,4.74,215.8,190.75,6362625,0.47,2.5,1.37,5.89,5.89,2.24,,,,,B
ABNB,2026-05-20,CONSUMER CYCLICAL,NONE,,3.5,3.5,4.0,1.0,0.5,-2.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,135.55,138.03,133.99,128.3,4.97,147.25,130.01,3978120,1.64,2.5,-0.5,-5.99,-5.99,3.67,,,,,C
ADBE,2026-05-20,TECHNOLOGY,NONE,,6.5,6.5,4.0,2.0,1.5,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,253.37,247.41,245.98,306.77,9.29,265.09,231.74,4936893,0.97,2.5,0.64,-1.0,-1.0,3.67,,,,,B
ADI,2026-05-20,TECHNOLOGY,NONE,,4.5,4.5,4.0,-1.0,0.5,1.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,398.05,408.05,361.91,293.05,13.58,435.72,378.25,4029535,2.55,2.0,-0.74,4.36,4.36,3.41,,,,,B
ADP,2026-05-20,TECHNOLOGY,NONE,,9.0,9.0,4.0,3.0,0.0,2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,220.69,210.5,206.21,250.83,6.16,227.43,194.9,3187223,0.88,2.5,1.65,9.42,9.42,2.79,,,,,B
ADSK,2026-05-20,TECHNOLOGY,NONE,,5.0,5.0,3.0,2.0,1.0,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,243.63,239.79,240.28,276.6,8.63,255.14,225.28,1800476,0.86,2.5,0.44,-1.59,-1.59,3.54,,,,,B
AEP,2026-05-20,UTILITIES,NONE,,2.5,2.5,3.0,1.0,-0.5,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,128.87,132.25,132.17,121.31,2.88,139.44,124.68,4410763,1.32,1.0,-1.17,-2.09,-2.09,2.23,,,,,C
AIG,2026-05-20,FINANCIAL SERVICES,NONE,,7.0,7.0,4.0,1.0,2.0,0.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,78.03,76.38,76.26,78.23,1.89,79.77,72.98,5106727,0.39,1.5,0.87,2.63,2.63,2.42,,,,,B
AKAM,2026-05-20,TECHNOLOGY,NONE,,9.5,9.5,6.0,1.0,0.5,2.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,143.55,125.27,114.19,92.34,9.96,165.45,93.51,7201258,2.5,3.0,1.84,47.82,47.82,6.94,,,,,B
ALB,2026-05-20,BASIC MATERIALS,NONE,,-0.5,-0.5,3.0,-2.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,170.21,191.61,183.23,137.47,11.57,221.0,165.67,2087767,0.86,0.0,-1.85,-12.36,-12.36,6.8,,,,,C
ALL,2026-05-20,FINANCIAL SERVICES,PULLBACK,PULLBACK,9.5,9.5,6.0,1.0,1.5,1.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,221.98,216.79,212.35,206.77,5.07,227.62,209.51,1668364,0.55,2.5,1.02,3.65,3.65,2.29,221.98,209.66,246.62,2.0,A
AMAT,2026-05-20,TECHNOLOGY,NONE,,10.0,10.0,6.0,0.0,3.0,1.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,426.85,414.3,385.56,284.73,20.59,448.45,377.07,7717957,0.85,2.0,0.61,5.79,5.79,4.82,,,,,B
AMD,2026-05-20,TECHNOLOGY,NONE,,12.0,12.0,6.0,2.0,2.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,447.58,392.7,292.9,227.98,29.94,469.22,286.14,45620993,0.78,2.0,1.83,47.49,47.49,6.69,,,,,A
AMGN,2026-05-20,HEALTHCARE,NONE,,0.5,0.5,2.0,0.0,-0.5,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,331.57,334.2,345.24,326.76,8.08,350.69,320.52,2815549,1.39,1.0,-0.33,-4.15,-4.15,2.44,,,,,C
AMT,2026-05-20,REAL ESTATE,NONE,,9.5,9.5,4.0,3.0,1.5,1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,184.02,178.22,177.51,184.32,4.59,184.12,167.37,2979349,0.73,3.5,1.26,4.37,4.37,2.49,,,,,B
AMZN,2026-05-20,CONSUMER CYCLICAL,NONE,,6.0,6.0,4.0,0.0,1.0,1.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,265.01,266.31,239.67,230.06,6.6,278.56,250.33,45275389,0.76,1.0,-0.2,3.78,3.78,2.49,,,,,B
ANET,2026-05-20,TECHNOLOGY,NONE,,2.0,2.0,3.0,0.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,140.49,155.4,146.46,139.57,8.26,179.8,135.13,12268312,0.78,0.0,-1.81,-20.95,-20.95,5.88,,,,,C
APD,2026-05-20,BASIC MATERIALS,NONE,,0.0,0.0,3.0,-1.0,-1.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,289.19,299.57,294.43,274.91,6.75,307.96,289.63,1055214,1.28,1.0,-1.54,-2.55,-2.55,2.33,,,,,C
APH,2026-05-20,TECHNOLOGY,NONE,,1.0,1.0,3.0,-1.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,123.05,135.21,135.18,132.74,5.62,154.92,118.01,10764160,0.72,0.0,-2.16,-16.93,-16.93,4.57,,,,,C
APP,2026-05-20,COMMUNICATION SERVICES,NONE,,6.5,6.5,4.0,3.0,0.5,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,482.28,470.56,447.16,533.03,31.84,515.39,430.25,4677005,0.63,1.5,0.37,-0.3,-0.3,6.6,,,,,B
ASML,2026-05-20,TECHNOLOGY,NONE,,9.0,9.0,6.0,0.0,2.0,1.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,1550.13,1483.58,1426.29,1168.28,70.26,1603.49,1364.81,1681733,1.03,2.0,0.95,7.38,7.38,4.53,,,,,B
AVB,2026-05-20,REAL ESTATE,NONE,,7.55,7.55,3.1,0.7,1.75,2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,186.69,183.03,173.83,180.77,3.2,188.01,170.15,1039014,0.62,2.0,1.14,8.98,8.98,1.72,,,,,B
AVGO,2026-05-20,TECHNOLOGY,NONE,,5.0,5.0,4.0,1.0,1.0,-1.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,417.76,419.79,374.02,348.67,16.66,442.36,394.65,19163170,0.85,0.0,-0.12,-1.16,-1.16,3.99,,,,,B
AXP,2026-05-20,FINANCIAL SERVICES,NONE,,0.05,0.05,1.7,0.7,-0.35,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,309.82,315.57,311.8,336.6,5.87,334.5,307.63,3385466,1.05,0.0,-0.98,-6.93,-6.93,1.89,,,,,C
AZO,2026-05-20,CONSUMER CYCLICAL,NONE,,1.0,1.0,2.0,1.0,-1.0,-1.0,False,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,3419.36,3488.78,3471.88,3746.21,100.43,3729.82,3280.0,273464,1.31,1.5,-0.69,-4.75,-4.75,2.94,,,,,C
BA,2026-05-20,INDUSTRIALS,NONE,,2.0,2.0,3.0,-1.0,1.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,222.2,228.82,217.6,219.63,7.31,244.07,214.0,6810010,1.12,0.0,-0.91,-3.93,-3.93,3.29,,,,,C
BABA,2026-05-20,CONSUMER CYCLICAL,NONE,,2.0,2.0,3.0,-1.0,1.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,134.47,135.38,131.95,149.38,5.43,146.87,128.95,11836466,0.54,0.0,-0.17,-1.43,-1.43,4.04,,,,,C
BAC,2026-05-20,FINANCIAL SERVICES,NONE,,3.0,3.0,3.0,1.0,0.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,51.23,51.79,50.68,51.68,1.15,54.2,49.3,32404244,1.13,0.5,-0.49,-3.56,-3.56,2.24,,,,,C
BHP,2026-05-20,BASIC MATERIALS,NONE,,6.5,6.5,6.0,-1.0,0.5,1.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,83.55,82.57,77.02,64.62,2.65,91.45,76.92,2462024,1.09,1.0,0.37,3.71,3.71,3.17,,,,,B
BIIB,2026-05-20,HEALTHCARE,NONE,,1.0,1.0,4.0,-1.0,-1.0,-1.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,187.8,190.77,185.56,168.61,5.52,205.97,179.15,1173899,0.78,0.0,-0.54,-1.19,-1.19,2.94,,,,,C
BKNG,2026-05-20,CONSUMER CYCLICAL,NONE,,0.0,0.0,1.0,0.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,156.95,165.36,171.35,196.25,5.72,191.01,153.05,7759057,1.05,0.5,-1.47,-12.51,-12.51,3.64,,,,,C
BKR,2026-05-20,ENERGY,PULLBACK,PULLBACK,8.5,8.5,6.0,1.0,0.5,1.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,66.79,66.52,62.9,53.17,1.7,70.41,60.96,8551425,1.02,1.5,0.16,6.8,6.8,2.55,66.79,62.46,75.45,2.0,A
BLK,2026-05-20,FINANCIAL SERVICES,NONE,,0.0,0.0,3.0,-1.0,-1.0,-1.0,False,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,1051.57,1066.33,1017.34,1079.48,23.29,1111.09,1031.32,540696,1.07,0.0,-0.63,-1.03,-1.03,2.21,,,,,C
BMY,2026-05-20,HEALTHCARE,PULLBACK,PULLBACK,6.5,6.5,4.0,2.0,1.5,-1.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,58.54,57.5,58.4,52.65,1.25,60.78,55.41,10185550,0.51,1.5,0.84,-0.44,-0.44,2.13,58.54,55.41,64.8,2.0,A
